transaction_id,Sta,station_name,Dest,dest_station_name,Line,LineCC,PrType,TxT,FarT,Value,TrxDetail,InsertionDateTime
113,3,Haiderpur Badli Mor,13,Chandni Chowk,Yellow Line,YL,Other,Entry,Student,40.00,OT-20240606-800773,2024-06-06 17:13:04
114,61,Patel Nagar,38,Dwarka Sector 21,Blue Line (N),BLN,Other,Exit,Adult,60.00,OT-20240527-400588,2024-05-27 19:15:39
115,19,Udyog Bhawan,14,Chawri Bazar,Yellow Line,YL,Other,Entry,Concession,60.00,OT-20240510-569030,2024-05-10 17:53:32
116,25,Hauz Khas,2,Rohini Sector 18-19,Yellow Line,YL,Other,Entry,Adult,60.00,OT-20240608-555668,2024-06-08 17:17:31
117,87,Rithala,114,Shaheed Sthal,Red Line,RL,Other,Exit,Concession,60.00,OT-20240730-663997,2024-07-30 23:42:01
118,37,HUDA City Centre,25,Hauz Khas,Yellow Line,YL,QR Ticket,Entry,Senior Citizen,40.00,QR-20240704-885930,2024-07-04 13:59:43
119,37,HUDA City Centre,13,Chandni Chowk,Yellow Line,YL,QR Ticket,Entry,Student,20.00,QR-20240726-434288,2024-07-26 11:30:24
120,29,Chhatarpur,115,Laxmi Nagar,Yellow Line,YL,QR Ticket,Entry,Student,10.00,QR-20240627-574472,2024-06-27 20:12:51
121,87,Rithala,113,Hindon River,Red Line,RL,Other,Entry,Adult,30.00,OT-20240527-792770,2024-05-27 21:21:03
122,87,Rithala,112,Arthala,Red Line,RL,QR Ticket,Exit,Adult,50.00,QR-20240621-605665,2024-06-21 07:54:40
123,37,HUDA City Centre,27,Saket,Yellow Line,YL,Other,Exit,Senior Citizen,50.00,OT-20240428-648723,2024-04-28 12:27:53
124,6,Azadpur,31,Ghitorni,Yellow Line,YL,QR Ticket,Exit,Adult,30.00,QR-20240526-837473,2024-05-26 18:40:00
125,19,Udyog Bhawan,24,Green Park,Yellow Line,YL,Other,Exit,Adult,40.00,OT-20240609-448492,2024-06-09 13:10:13
126,77,Noida Sector 18,85,Noida Sector 62,Blue Line (N),BLN,Other,Entry,Adult,30.00,OT-20240624-093234,2024-06-24 17:03:07
127,68,Supreme Court,39,Dwarka Sector 8,Blue Line (N),BLN,Other,Exit,Senior Citizen,40.00,OT-20240701-204041,2024-07-01 20:53:10
128,30,Sultanpur,11,Civil Lines,Yellow Line,YL,Other,Exit,Adult,20.00,OT-20240612-812916,2024-06-12 17:29:17
129,18,Central Secretariat,17,Patel Chowk,Yellow Line,YL,QR Ticket,Exit,Adult,30.00,QR-20240610-084621,2024-06-10 14:27:33
130,97,Pratap Nagar,93,Keshav Puram,Red Line,RL,Other,Exit,Student,20.00,OT-20240519-336970,2024-05-19 23:19:58
131,18,Central Secretariat,157,Harkesh Nagar Okhla,Yellow Line,YL,Other,Entry,Senior Citizen,60.00,OT-20240613-131983,2024-06-13 18:35:12
132,54,Subhash Nagar,61,Patel Nagar,Blue Line (N),BLN,Other,Exit,Adult,40.00,OT-20240725-541203,2024-07-25 07:54:15
133,34,Sikanderpur,18,Central Secretariat,Yellow Line,YL,Other,Entry,Student,50.00,OT-20240715-963991,2024-07-15 09:51:12
134,18,Central Secretariat,23,AIIMS,Yellow Line,YL,Other,Exit,Senior Citizen,20.00,OT-20240514-034186,2024-05-14 09:34:29
135,118,Karkarduma,97,Pratap Nagar,Blue Line (V),BLV,Other,Entry,Student,50.00,OT-20240506-752873,2024-05-06 19:35:15
136,134,Mundka,136,Ghevra,Green Line,GL,Other,Entry,Adult,30.00,OT-20240617-662770,2024-06-17 12:46:14
137,53,Tilak Nagar,55,Tagore Garden,Blue Line (N),BLN,Other,Exit,Student,60.00,OT-20240629-519031,2024-06-29 20:20:29
138,37,HUDA City Centre,10,Vidhan Sabha,Yellow Line,YL,QR Ticket,Entry,Senior Citizen,40.00,QR-20240531-734182,2024-05-31 09:43:14
139,34,Sikanderpur,20,Lok Kalyan Marg,Yellow Line,YL,QR Ticket,Entry,Senior Citizen,40.00,QR-20240718-698583,2024-07-18 20:02:02
140,33,Guru Dronacharya,29,Chhatarpur,Yellow Line,YL,Other,Entry,Concession,50.00,OT-20240711-895150,2024-07-11 08:41:43
141,97,Pratap Nagar,105,Jhilmil,Red Line,RL,Other,Entry,Student,50.00,OT-20240703-613017,2024-07-03 15:39:06
142,102,Welcome,96,Shastri Nagar,Red Line,RL,Other,Entry,Senior Citizen,60.00,OT-20240520-311267,2024-05-20 08:06:52
143,78,Botanical Garden,46,Dwarka,Blue Line (N),BLN,QR Ticket,Exit,Senior Citizen,10.00,QR-20240517-926662,2024-05-17 20:53:25
144,61,Patel Nagar,70,Yamuna Bank,Blue Line (N),BLN,Other,Exit,Adult,50.00,OT-20240430-426069,2024-04-30 19:31:55
145,37,HUDA City Centre,19,Udyog Bhawan,Yellow Line,YL,Other,Entry,Student,40.00,OT-20240522-386206,2024-05-22 16:38:15
146,29,Chhatarpur,17,Patel Chowk,Yellow Line,YL,Other,Entry,Adult,40.00,OT-20240613-971742,2024-06-13 09:55:10
147,73,Mayur Vihar Extension,84,Noida Sector 59,Blue Line (N),BLN,QR Ticket,Entry,Senior Citizen,40.00,QR-20240721-246123,2024-07-21 18:07:09
148,25,Hauz Khas,15,New Delhi,Yellow Line,YL,Other,Entry,Adult,40.00,OT-20240505-444606,2024-05-05 07:31:33
149,92,Netaji Subhash Place,108,Raj Bagh,Red Line,RL,QR Ticket,Exit,Adult,50.00,QR-20240607-101057,2024-06-07 22:17:02
150,1,Samaypur Badli,4,Jahangirpuri,Yellow Line,YL,Other,Entry,Senior Citizen,30.00,OT-20240629-120156,2024-06-29 18:49:12
151,97,Pratap Nagar,99,Tis Hazari,Red Line,RL,QR Ticket,Exit,Concession,10.00,QR-20240517-218026,2024-05-17 18:44:52
152,76,Noida Sector 16,58,Moti Nagar,Blue Line (N),BLN,QR Ticket,Entry,Adult,50.00,QR-20240705-219931,2024-07-05 16:57:47
153,58,Moti Nagar,73,Mayur Vihar Extension,Blue Line (N),BLN,Other,Exit,Senior Citizen,40.00,OT-20240615-989848,2024-06-15 11:36:58
154,32,Arjan Garh,19,Udyog Bhawan,Yellow Line,YL,QR Ticket,Exit,Senior Citizen,40.00,QR-20240522-516476,2024-05-22 17:22:03
155,76,Noida Sector 16,54,Subhash Nagar,Blue Line (N),BLN,Other,Entry,Senior Citizen,30.00,OT-20240702-359713,2024-07-02 09:36:07
156,25,Hauz Khas,29,Chhatarpur,Yellow Line,YL,Other,Exit,Adult,30.00,OT-20240428-732263,2024-04-28 21:56:51
157,97,Pratap Nagar,93,Keshav Puram,Red Line,RL,Other,Exit,Adult,50.00,OT-20240711-531039,2024-07-11 08:58:38
158,156,Govind Puri,129,Udyog Nagar,Violet Line,VL,Other,Exit,Adult,60.00,OT-20240713-891328,2024-07-13 21:15:58
159,22,INA,6,Azadpur,Yellow Line,YL,QR Ticket,Entry,Adult,50.00,QR-20240508-459312,2024-05-08 13:10:47
160,33,Guru Dronacharya,21,Jor Bagh,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240609-205413,2024-06-09 20:00:35
161,19,Udyog Bhawan,4,Jahangirpuri,Yellow Line,YL,Other,Entry,Student,40.00,OT-20240515-469713,2024-05-15 11:28:01
162,25,Hauz Khas,7,Model Town,Yellow Line,YL,QR Ticket,Entry,Adult,40.00,QR-20240731-217432,2024-07-31 19:12:17
163,5,Adarsh Nagar,22,INA,Yellow Line,YL,Other,Entry,Concession,30.00,OT-20240618-892435,2024-06-18 20:33:09
164,12,Kashmere Gate,20,Lok Kalyan Marg,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240502-354169,2024-05-02 09:16:09
165,12,Kashmere Gate,30,Sultanpur,Yellow Line,YL,Other,Exit,Adult,60.00,OT-20240522-108618,2024-05-22 12:55:22
166,15,New Delhi,10,Vidhan Sabha,Yellow Line,YL,NCMC,Exit,Student,10.00,NC-20240720-173682,2024-07-20 20:09:52
167,130,Maharaja Surajmal Stadium,125,Madipur,Green Line,GL,Other,Entry,Concession,60.00,OT-20240612-565777,2024-06-12 22:10:26
168,37,HUDA City Centre,26,Malviya Nagar,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240716-971989,2024-07-16 20:11:20
169,1,Samaypur Badli,21,Jor Bagh,Yellow Line,YL,Other,Exit,Student,30.00,OT-20240703-916249,2024-07-03 18:56:03
170,7,Model Town,11,Civil Lines,Yellow Line,YL,Other,Exit,Senior Citizen,40.00,OT-20240803-082590,2024-08-03 20:48:24
171,1,Samaypur Badli,13,Chandni Chowk,Yellow Line,YL,Other,Exit,Adult,30.00,OT-20240625-118346,2024-06-25 09:21:20
172,49,Uttam Nagar West,81,Noida Sector 34,Blue Line (N),BLN,QR Ticket,Exit,Adult,30.00,QR-20240730-818254,2024-07-30 08:36:20
173,16,Rajiv Chowk,28,Qutab Minar,Yellow Line,YL,QR Ticket,Exit,Adult,20.00,QR-20240725-553483,2024-07-25 18:51:13
174,15,New Delhi,20,Lok Kalyan Marg,Yellow Line,YL,Other,Entry,Senior Citizen,30.00,OT-20240627-493145,2024-06-27 15:06:13
175,8,Guru Tegh Bahadur Nagar,13,Chandni Chowk,Yellow Line,YL,QR Ticket,Exit,Adult,10.00,QR-20240708-927531,2024-07-08 17:04:13
176,22,INA,1,Samaypur Badli,Yellow Line,YL,Other,Entry,Student,30.00,OT-20240617-637987,2024-06-17 09:48:31
177,97,Pratap Nagar,96,Shastri Nagar,Red Line,RL,Other,Exit,Concession,30.00,OT-20240719-889208,2024-07-19 10:57:38
178,7,Model Town,4,Jahangirpuri,Yellow Line,YL,QR Ticket,Exit,Concession,10.00,QR-20240621-361616,2024-06-21 09:40:30
179,62,Rajendra Place,45,Dwarka Sector 14,Blue Line (N),BLN,QR Ticket,Exit,Senior Citizen,30.00,QR-20240725-175199,2024-07-25 07:45:11
180,61,Patel Nagar,85,Noida Sector 62,Blue Line (N),BLN,QR Ticket,Entry,Senior Citizen,50.00,QR-20240710-539351,2024-07-10 08:01:23
181,25,Hauz Khas,26,Malviya Nagar,Yellow Line,YL,QR Ticket,Exit,Concession,60.00,QR-20240613-606074,2024-06-13 07:41:47
182,151,Lajpat Nagar,156,Govind Puri,Violet Line,VL,QR Ticket,Entry,Adult,40.00,QR-20240523-455301,2024-05-23 08:28:16
183,7,Model Town,20,Lok Kalyan Marg,Yellow Line,YL,QR Ticket,Entry,Concession,40.00,QR-20240522-664019,2024-05-22 12:42:53
184,61,Patel Nagar,73,Mayur Vihar Extension,Blue Line (N),BLN,Other,Exit,Student,30.00,OT-20240630-978257,2024-06-30 07:16:27
185,6,Azadpur,37,HUDA City Centre,Yellow Line,YL,Other,Entry,Concession,60.00,OT-20240712-660306,2024-07-12 20:52:14
186,34,Sikanderpur,24,Green Park,Yellow Line,YL,Other,Entry,Senior Citizen,30.00,OT-20240618-682904,2024-06-18 14:44:02
187,12,Kashmere Gate,27,Saket,Yellow Line,YL,QR Ticket,Exit,Adult,40.00,QR-20240628-662171,2024-06-28 21:14:24
188,34,Sikanderpur,29,Chhatarpur,Yellow Line,YL,QR Ticket,Entry,Adult,50.00,QR-20240525-523501,2024-05-25 17:46:55
189,116,Nirman Vihar,121,Vaishali,Blue Line (V),BLV,Other,Exit,Adult,60.00,OT-20240505-220046,2024-05-05 13:23:16
190,3,Haiderpur Badli Mor,27,Saket,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240526-059107,2024-05-26 18:14:15
191,12,Kashmere Gate,24,Green Park,Yellow Line,YL,Other,Entry,Adult,30.00,OT-20240524-600279,2024-05-24 09:26:36
192,37,HUDA City Centre,15,New Delhi,Yellow Line,YL,QR Ticket,Entry,Student,40.00,QR-20240529-921628,2024-05-29 07:43:58
